time,hr
2020-12-26T22:17:28Z,67
2020-12-26T22:17:29Z,67
2020-12-26T22:17:30Z,68
2020-12-26T22:17:32Z,68
2020-12-26T22:17:34Z,68
2020-12-26T22:17:35Z,67
2020-12-26T22:17:37Z,67
2020-12-26T22:17:38Z,67
2020-12-26T22:17:39Z,67
2020-12-26T22:17:41Z,68
2020-12-26T22:17:43Z,69
2020-12-26T22:17:44Z,69
2020-12-26T22:17:46Z,68
2020-12-26T22:17:47Z,68
2020-12-26T22:17:48Z,67
2020-12-26T22:17:50Z,66
2020-12-26T22:17:52Z,66
2020-12-26T22:17:53Z,67
2020-12-26T22:17:54Z,69
2020-12-26T22:17:56Z,73
2020-12-26T22:17:58Z,74
2020-12-26T22:17:59Z,74
2020-12-26T22:18:00Z,74
2020-12-26T22:18:02Z,73
2020-12-26T22:18:03Z,73
2020-12-26T22:18:05Z,74
2020-12-26T22:18:07Z,75
2020-12-26T22:18:08Z,75
2020-12-26T22:18:09Z,74
2020-12-26T22:18:10Z,73
2020-12-26T22:18:12Z,72
2020-12-26T22:18:14Z,73
2020-12-26T22:18:16Z,75
2020-12-26T22:18:18Z,75
2020-12-26T22:18:19Z,75
2020-12-26T22:18:21Z,75
2020-12-26T22:18:23Z,74
2020-12-26T22:18:24Z,74
2020-12-26T22:18:26Z,75
2020-12-26T22:18:28Z,77
2020-12-26T22:18:30Z,81
2020-12-26T22:18:31Z,81
2020-12-26T22:18:32Z,83
2020-12-26T22:18:34Z,84
2020-12-26T22:18:36Z,84
2020-12-26T22:18:37Z,85
2020-12-26T22:18:39Z,86
2020-12-26T22:18:41Z,87
2020-12-26T22:18:42Z,87
2020-12-26T22:18:44Z,88
2020-12-26T22:18:46Z,88
2020-12-26T22:18:48Z,89
2020-12-26T22:18:49Z,89
2020-12-26T22:18:51Z,90
2020-12-26T22:18:53Z,90
2020-12-26T22:18:54Z,90
2020-12-26T22:18:55Z,89
2020-12-26T22:18:56Z,89
2020-12-26T22:18:58Z,90
2020-12-26T22:18:59Z,90
2020-12-26T22:19:01Z,90
2020-12-26T22:19:02Z,90
2020-12-26T22:19:04Z,91
2020-12-26T22:19:06Z,91
2020-12-26T22:19:07Z,91
2020-12-26T22:19:10Z,90
2020-12-26T22:19:12Z,89
2020-12-26T22:19:13Z,89
2020-12-26T22:19:15Z,89
2020-12-26T22:19:17Z,90
2020-12-26T22:19:20Z,89
2020-12-26T22:19:22Z,88
2020-12-26T22:19:23Z,88
2020-12-26T22:19:25Z,89
2020-12-26T22:19:27Z,89
2020-12-26T22:19:28Z,90
2020-12-26T22:19:29Z,90
2020-12-26T22:19:32Z,92
2020-12-26T22:19:34Z,92
2020-12-26T22:19:36Z,92
2020-12-26T22:19:37Z,92
2020-12-26T22:19:39Z,91
2020-12-26T22:19:40Z,91
2020-12-26T22:19:42Z,91
2020-12-26T22:19:44Z,91
2020-12-26T22:19:46Z,90
2020-12-26T22:19:47Z,90
2020-12-26T22:19:49Z,90
2020-12-26T22:19:50Z,90
2020-12-26T22:19:52Z,90
2020-12-26T22:19:53Z,90
2020-12-26T22:19:55Z,91
2020-12-26T22:19:56Z,91
2020-12-26T22:19:58Z,91
2020-12-26T22:20:00Z,92
2020-12-26T22:20:01Z,92
2020-12-26T22:20:02Z,92
2020-12-26T22:20:03Z,92
2020-12-26T22:20:05Z,92
2020-12-26T22:20:06Z,92
2020-12-26T22:20:07Z,93
2020-12-26T22:20:08Z,93
2020-12-26T22:20:09Z,94
2020-12-26T22:20:11Z,94
2020-12-26T22:20:12Z,94
2020-12-26T22:20:13Z,94
2020-12-26T22:20:15Z,94
2020-12-26T22:20:16Z,94
2020-12-26T22:20:17Z,94
2020-12-26T22:20:19Z,96
2020-12-26T22:20:20Z,97
2020-12-26T22:20:21Z,97
2020-12-26T22:20:22Z,97
2020-12-26T22:20:24Z,98
2020-12-26T22:20:25Z,97
2020-12-26T22:20:26Z,97
2020-12-26T22:20:27Z,97
2020-12-26T22:20:29Z,98
2020-12-26T22:20:30Z,98
2020-12-26T22:20:31Z,98
2020-12-26T22:20:32Z,98
2020-12-26T22:20:33Z,98
2020-12-26T22:20:35Z,98
2020-12-26T22:20:36Z,98
2020-12-26T22:20:37Z,98
2020-12-26T22:20:39Z,98
2020-12-26T22:20:40Z,98
2020-12-26T22:20:41Z,98
2020-12-26T22:20:43Z,103
2020-12-26T22:20:44Z,103
2020-12-26T22:20:45Z,103
2020-12-26T22:20:46Z,103
2020-12-26T22:20:48Z,104
2020-12-26T22:20:49Z,107
2020-12-26T22:20:51Z,109
2020-12-26T22:20:52Z,110
2020-12-26T22:20:53Z,110
2020-12-26T22:20:54Z,112
2020-12-26T22:20:56Z,116
2020-12-26T22:20:57Z,116
2020-12-26T22:20:58Z,116
2020-12-26T22:20:59Z,116
2020-12-26T22:21:01Z,116
2020-12-26T22:21:02Z,116
2020-12-26T22:21:04Z,116
2020-12-26T22:21:05Z,116
2020-12-26T22:21:06Z,117
2020-12-26T22:21:08Z,117
2020-12-26T22:21:09Z,118
2020-12-26T22:21:10Z,118
2020-12-26T22:21:11Z,118
2020-12-26T22:21:12Z,118
2020-12-26T22:21:14Z,118
2020-12-26T22:21:15Z,118
2020-12-26T22:21:16Z,118
2020-12-26T22:21:17Z,120
2020-12-26T22:21:19Z,120
2020-12-26T22:21:20Z,120
2020-12-26T22:21:21Z,120
2020-12-26T22:21:23Z,121
2020-12-26T22:21:24Z,121
2020-12-26T22:21:26Z,121
2020-12-26T22:21:27Z,121
2020-12-26T22:21:28Z,122
2020-12-26T22:21:29Z,122
2020-12-26T22:21:31Z,123
2020-12-26T22:21:32Z,124
2020-12-26T22:21:33Z,124
2020-12-26T22:21:34Z,124
2020-12-26T22:21:36Z,124
2020-12-26T22:21:37Z,124
2020-12-26T22:21:38Z,124
2020-12-26T22:21:39Z,124
2020-12-26T22:21:40Z,127
2020-12-26T22:21:42Z,127
2020-12-26T22:21:43Z,127
2020-12-26T22:21:44Z,127
2020-12-26T22:21:45Z,127
2020-12-26T22:21:47Z,128
2020-12-26T22:21:48Z,128
2020-12-26T22:21:49Z,128
2020-12-26T22:21:51Z,129
2020-12-26T22:21:52Z,129
2020-12-26T22:21:53Z,129
2020-12-26T22:21:54Z,129
2020-12-26T22:21:55Z,129
2020-12-26T22:21:57Z,129
2020-12-26T22:21:58Z,130
2020-12-26T22:21:59Z,130
2020-12-26T22:22:00Z,130
2020-12-26T22:22:02Z,130
2020-12-26T22:22:03Z,129
2020-12-26T22:22:05Z,129
2020-12-26T22:22:06Z,130
2020-12-26T22:22:07Z,130
2020-12-26T22:22:08Z,130
2020-12-26T22:22:10Z,131
2020-12-26T22:22:11Z,131
2020-12-26T22:22:12Z,131
2020-12-26T22:22:13Z,131
2020-12-26T22:22:14Z,131
2020-12-26T22:22:15Z,131
2020-12-26T22:22:16Z,131
2020-12-26T22:22:17Z,132
2020-12-26T22:22:19Z,132
2020-12-26T22:22:20Z,132
2020-12-26T22:22:21Z,132
2020-12-26T22:22:22Z,132
2020-12-26T22:22:23Z,133
2020-12-26T22:22:24Z,133
2020-12-26T22:22:25Z,133
2020-12-26T22:22:27Z,133
2020-12-26T22:22:28Z,134
2020-12-26T22:22:29Z,134
2020-12-26T22:22:30Z,134
2020-12-26T22:22:32Z,134
2020-12-26T22:22:33Z,134
2020-12-26T22:22:34Z,134
2020-12-26T22:22:35Z,133
2020-12-26T22:22:36Z,134
2020-12-26T22:22:37Z,134
2020-12-26T22:22:39Z,134
2020-12-26T22:22:40Z,135
2020-12-26T22:22:42Z,135
2020-12-26T22:22:43Z,135
2020-12-26T22:22:45Z,135
2020-12-26T22:22:46Z,135
2020-12-26T22:22:47Z,135
2020-12-26T22:22:48Z,135
2020-12-26T22:22:49Z,135
2020-12-26T22:22:50Z,134
2020-12-26T22:22:51Z,135
2020-12-26T22:22:53Z,134
2020-12-26T22:22:54Z,134
2020-12-26T22:22:55Z,135
2020-12-26T22:22:56Z,134
2020-12-26T22:22:57Z,135
2020-12-26T22:22:58Z,135
2020-12-26T22:22:59Z,135
2020-12-26T22:23:00Z,135
2020-12-26T22:23:02Z,135
2020-12-26T22:23:03Z,135
2020-12-26T22:23:04Z,135
2020-12-26T22:23:06Z,136
2020-12-26T22:23:07Z,136
2020-12-26T22:23:08Z,136
2020-12-26T22:23:10Z,136
2020-12-26T22:23:11Z,136
2020-12-26T22:23:12Z,137
2020-12-26T22:23:14Z,137
2020-12-26T22:23:15Z,137
2020-12-26T22:23:16Z,137
2020-12-26T22:23:18Z,138
