time,watch_hr
2020-12-25T21:17:04.000Z,61
2020-12-25T21:17:05.000Z,61
2020-12-25T21:17:16.000Z,65
2020-12-25T21:17:18.000Z,68
2020-12-25T21:17:29.000Z,71
2020-12-25T21:17:34.000Z,74
2020-12-25T21:17:36.000Z,79
2020-12-25T21:17:39.000Z,82
2020-12-25T21:17:44.000Z,85
2020-12-25T21:17:49.000Z,89
2020-12-25T21:17:59.000Z,85
2020-12-25T21:18:07.000Z,88
2020-12-25T21:18:17.000Z,88
2020-12-25T21:18:19.000Z,85
2020-12-25T21:18:21.000Z,81
2020-12-25T21:18:27.000Z,86
2020-12-25T21:18:28.000Z,89
2020-12-25T21:18:30.000Z,93
2020-12-25T21:18:31.000Z,97
2020-12-25T21:18:32.000Z,102
2020-12-25T21:18:33.000Z,107
2020-12-25T21:18:34.000Z,112
2020-12-25T21:18:35.000Z,112
2020-12-25T21:18:38.000Z,115
2020-12-25T21:18:41.000Z,112
2020-12-25T21:18:44.000Z,117
2020-12-25T21:18:46.000Z,123
2020-12-25T21:18:47.000Z,126
2020-12-25T21:18:52.000Z,123
2020-12-25T21:18:53.000Z,118
2020-12-25T21:18:55.000Z,110
2020-12-25T21:18:56.000Z,104
2020-12-25T21:19:00.000Z,107
2020-12-25T21:19:01.000Z,111
2020-12-25T21:19:04.000Z,115
2020-12-25T21:19:05.000Z,112
2020-12-25T21:19:07.000Z,115
2020-12-25T21:19:12.000Z,119
2020-12-25T21:19:14.000Z,116
2020-12-25T21:19:17.000Z,122
2020-12-25T21:19:18.000Z,122
2020-12-25T21:19:25.000Z,122
2020-12-25T21:19:32.000Z,123
2020-12-25T21:19:34.000Z,127
2020-12-25T21:19:41.000Z,126
2020-12-25T21:19:48.000Z,127
2020-12-25T21:19:55.000Z,127
2020-12-25T21:20:02.000Z,128
2020-12-25T21:20:09.000Z,128
2020-12-25T21:20:16.000Z,128
2020-12-25T21:20:23.000Z,129
2020-12-25T21:20:30.000Z,131
2020-12-25T21:20:37.000Z,131
2020-12-25T21:20:47.000Z,132
2020-12-25T21:20:54.000Z,129
2020-12-25T21:21:06.000Z,126
2020-12-25T21:21:11.000Z,123
2020-12-25T21:21:18.000Z,120
2020-12-25T21:21:25.000Z,117
2020-12-25T21:21:30.000Z,114
2020-12-25T21:21:34.000Z,111
2020-12-25T21:21:46.000Z,108
2020-12-25T21:22:00.000Z,105
2020-12-25T21:22:03.000Z,102
2020-12-25T21:22:06.000Z,99
2020-12-25T21:22:10.000Z,96
2020-12-25T21:22:15.000Z,93
2020-12-25T21:22:19.000Z,90
2020-12-25T21:22:24.000Z,85
2020-12-25T21:22:25.000Z,80
2020-12-25T21:22:26.000Z,75
2020-12-25T21:22:27.000Z,75
2020-12-25T21:22:35.000Z,79
2020-12-25T21:22:38.000Z,82
2020-12-25T21:22:39.000Z,85
2020-12-25T21:22:40.000Z,88
2020-12-25T21:22:41.000Z,91
2020-12-25T21:22:43.000Z,97
2020-12-25T21:22:44.000Z,101
2020-12-25T21:22:47.000Z,105
2020-12-25T21:22:49.000Z,108
2020-12-25T21:22:52.000Z,111
2020-12-25T21:22:59.000Z,112
2020-12-25T21:23:06.000Z,114
2020-12-25T21:23:12.000Z,111
2020-12-25T21:23:17.000Z,114
2020-12-25T21:23:19.000Z,117
2020-12-25T21:23:26.000Z,115
2020-12-25T21:23:28.000Z,119
2020-12-25T21:23:34.000Z,122
2020-12-25T21:23:36.000Z,119
2020-12-25T21:23:39.000Z,122
2020-12-25T21:23:46.000Z,121
2020-12-25T21:23:53.000Z,122
2020-12-25T21:24:00.000Z,122
2020-12-25T21:24:07.000Z,123
2020-12-25T21:24:11.000Z,129
2020-12-25T21:24:13.000Z,134
2020-12-25T21:24:20.000Z,132
2020-12-25T21:24:27.000Z,132
2020-12-25T21:24:34.000Z,132
2020-12-25T21:24:41.000Z,131
2020-12-25T21:24:45.000Z,126
2020-12-25T21:24:52.000Z,126
2020-12-25T21:24:59.000Z,128
2020-12-25T21:25:06.000Z,128
2020-12-25T21:25:12.000Z,132
2020-12-25T21:25:16.000Z,135
2020-12-25T21:25:20.000Z,131
2020-12-25T21:25:27.000Z,130
2020-12-25T21:25:34.000Z,134
2020-12-25T21:25:41.000Z,133
2020-12-25T21:25:48.000Z,135
2020-12-25T21:25:55.000Z,134
2020-12-25T21:26:02.000Z,134
2020-12-25T21:26:05.000Z,138
2020-12-25T21:26:12.000Z,136
2020-12-25T21:26:19.000Z,136
2020-12-25T21:26:26.000Z,136
2020-12-25T21:26:33.000Z,136
2020-12-25T21:26:40.000Z,136
2020-12-25T21:26:47.000Z,137
2020-12-25T21:26:49.000Z,134
2020-12-25T21:26:56.000Z,135
2020-12-25T21:27:03.000Z,137
2020-12-25T21:27:10.000Z,136
2020-12-25T21:27:17.000Z,136
2020-12-25T21:27:21.000Z,132
2020-12-25T21:27:22.000Z,136
2020-12-25T21:27:29.000Z,135
2020-12-25T21:27:36.000Z,135
2020-12-25T21:27:43.000Z,137
2020-12-25T21:27:50.000Z,138
2020-12-25T21:27:57.000Z,138
2020-12-25T21:28:04.000Z,138
2020-12-25T21:28:11.000Z,138
2020-12-25T21:28:12.000Z,137
2020-12-25T21:28:19.000Z,137
2020-12-25T21:28:26.000Z,136
2020-12-25T21:28:33.000Z,137
2020-12-25T21:28:40.000Z,138
2020-12-25T21:28:47.000Z,138
2020-12-25T21:28:54.000Z,138
2020-12-25T21:29:01.000Z,140
2020-12-25T21:29:08.000Z,139
2020-12-25T21:29:15.000Z,138
2020-12-25T21:29:22.000Z,140
2020-12-25T21:29:29.000Z,143
2020-12-25T21:29:36.000Z,143
2020-12-25T21:29:40.000Z,138
2020-12-25T21:29:47.000Z,138
2020-12-25T21:29:50.000Z,141
2020-12-25T21:29:57.000Z,142
2020-12-25T21:30:04.000Z,142
2020-12-25T21:30:06.000Z,139
2020-12-25T21:30:13.000Z,138
