time,hr
2020-12-26T22:17:29.000Z,68
2020-12-26T22:17:30.000Z,68
2020-12-26T22:17:55.000Z,65
2020-12-26T22:18:03.000Z,62
2020-12-26T22:18:07.000Z,67
2020-12-26T22:18:24.000Z,72
2020-12-26T22:18:25.000Z,69
2020-12-26T22:18:31.000Z,72
2020-12-26T22:18:37.000Z,75
2020-12-26T22:18:38.000Z,79
2020-12-26T22:18:40.000Z,85
2020-12-26T22:18:42.000Z,88
2020-12-26T22:18:55.000Z,91
2020-12-26T22:19:01.000Z,88
2020-12-26T22:19:06.000Z,91
2020-12-26T22:19:21.000Z,90
2020-12-26T22:19:33.000Z,86
2020-12-26T22:19:35.000Z,90
2020-12-26T22:19:49.000Z,90
2020-12-26T22:20:00.000Z,93
2020-12-26T22:20:14.000Z,93
2020-12-26T22:20:18.000Z,96
2020-12-26T22:20:20.000Z,99
2020-12-26T22:20:22.000Z,102
2020-12-26T22:20:24.000Z,108
2020-12-26T22:20:25.000Z,108
2020-12-26T22:20:26.000Z,111
2020-12-26T22:20:28.000Z,108
2020-12-26T22:20:33.000Z,110
2020-12-26T22:20:38.000Z,113
2020-12-26T22:20:42.000Z,116
2020-12-26T22:20:47.000Z,118
2020-12-26T22:20:52.000Z,121
2020-12-26T22:20:57.000Z,123
2020-12-26T22:21:02.000Z,125
2020-12-26T22:21:07.000Z,125
2020-12-26T22:21:13.000Z,125
2020-12-26T22:21:19.000Z,127
2020-12-26T22:21:24.000Z,128
2020-12-26T22:21:29.000Z,130
2020-12-26T22:21:34.000Z,132
2020-12-26T22:21:40.000Z,133
2020-12-26T22:21:45.000Z,134
2020-12-26T22:21:50.000Z,134
2020-12-26T22:21:55.000Z,133
2020-12-26T22:22:00.000Z,134
2020-12-26T22:22:05.000Z,135
2020-12-26T22:22:10.000Z,133
2020-12-26T22:22:15.000Z,133
2020-12-26T22:22:21.000Z,132
2020-12-26T22:22:27.000Z,133
2020-12-26T22:22:33.000Z,134
2020-12-26T22:22:38.000Z,134
2020-12-26T22:22:43.000Z,136
2020-12-26T22:22:49.000Z,137
2020-12-26T22:22:54.000Z,136
2020-12-26T22:22:59.000Z,135
2020-12-26T22:23:04.000Z,137
2020-12-26T22:23:09.000Z,137
2020-12-26T22:23:14.000Z,138
2020-12-26T22:23:19.000Z,138
2020-12-26T22:23:24.000Z,138
2020-12-26T22:23:29.000Z,138
2020-12-26T22:23:35.000Z,137
2020-12-26T22:23:41.000Z,136
2020-12-26T22:23:46.000Z,136
2020-12-26T22:23:51.000Z,135
2020-12-26T22:23:57.000Z,135
2020-12-26T22:24:02.000Z,136
2020-12-26T22:24:07.000Z,137
2020-12-26T22:24:12.000Z,137
2020-12-26T22:24:17.000Z,138
2020-12-26T22:24:22.000Z,138
2020-12-26T22:24:27.000Z,137
2020-12-26T22:24:32.000Z,136
2020-12-26T22:24:37.000Z,138
2020-12-26T22:24:42.000Z,138
2020-12-26T22:24:48.000Z,137
2020-12-26T22:24:56.000Z,135
2020-12-26T22:25:01.000Z,132
2020-12-26T22:25:03.000Z,129
2020-12-26T22:25:08.000Z,126
2020-12-26T22:25:18.000Z,123
2020-12-26T22:25:24.000Z,120
2020-12-26T22:25:28.000Z,117
2020-12-26T22:25:30.000Z,114
2020-12-26T22:25:33.000Z,110
2020-12-26T22:25:35.000Z,107
2020-12-26T22:25:37.000Z,104
2020-12-26T22:25:40.000Z,101
2020-12-26T22:25:50.000Z,98
2020-12-26T22:25:58.000Z,95
2020-12-26T22:26:12.000Z,92
2020-12-26T22:26:21.000Z,95
2020-12-26T22:26:25.000Z,99
2020-12-26T22:26:26.000Z,103
2020-12-26T22:26:27.000Z,106
2020-12-26T22:26:30.000Z,109
2020-12-26T22:26:35.000Z,111
2020-12-26T22:26:39.000Z,115
2020-12-26T22:26:41.000Z,118
2020-12-26T22:26:43.000Z,121
2020-12-26T22:26:46.000Z,124
2020-12-26T22:26:51.000Z,126
2020-12-26T22:26:56.000Z,127
2020-12-26T22:26:57.000Z,124
2020-12-26T22:27:02.000Z,125
2020-12-26T22:27:07.000Z,124
2020-12-26T22:27:12.000Z,125
2020-12-26T22:27:13.000Z,128
2020-12-26T22:27:16.000Z,132
2020-12-26T22:27:17.000Z,135
2020-12-26T22:27:19.000Z,138
2020-12-26T22:27:24.000Z,139
2020-12-26T22:27:29.000Z,140
2020-12-26T22:27:34.000Z,142
2020-12-26T22:27:39.000Z,141
2020-12-26T22:27:44.000Z,144
2020-12-26T22:27:49.000Z,146
2020-12-26T22:27:54.000Z,145
2020-12-26T22:27:59.000Z,146
2020-12-26T22:28:04.000Z,146
2020-12-26T22:28:09.000Z,145
2020-12-26T22:28:14.000Z,144
2020-12-26T22:28:19.000Z,145
2020-12-26T22:28:24.000Z,146
2020-12-26T22:28:29.000Z,146
2020-12-26T22:28:34.000Z,146
2020-12-26T22:28:39.000Z,146
2020-12-26T22:28:44.000Z,147
2020-12-26T22:28:49.000Z,146
