time,hr
2020-12-26T22:17:33.000Z,67
2020-12-26T22:17:34.000Z,67
2020-12-26T22:17:54.000Z,71
2020-12-26T22:18:00.000Z,75
2020-12-26T22:18:02.000Z,78
2020-12-26T22:18:05.000Z,75
2020-12-26T22:18:18.000Z,72
2020-12-26T22:18:21.000Z,75
2020-12-26T22:18:24.000Z,72
2020-12-26T22:18:26.000Z,75
2020-12-26T22:18:29.000Z,79
2020-12-26T22:18:32.000Z,82
2020-12-26T22:18:34.000Z,85
2020-12-26T22:18:41.000Z,88
2020-12-26T22:18:54.000Z,91
2020-12-26T22:19:09.000Z,91
2020-12-26T22:19:18.000Z,88
2020-12-26T22:19:33.000Z,90
2020-12-26T22:19:48.000Z,89
2020-12-26T22:19:58.000Z,92
2020-12-26T22:20:12.000Z,91
2020-12-26T22:20:20.000Z,90
2020-12-26T22:20:21.000Z,94
2020-12-26T22:20:25.000Z,98
2020-12-26T22:20:27.000Z,101
2020-12-26T22:20:30.000Z,104
2020-12-26T22:20:32.000Z,110
2020-12-26T22:20:33.000Z,113
2020-12-26T22:20:34.000Z,113
2020-12-26T22:20:35.000Z,116
2020-12-26T22:20:39.000Z,119
2020-12-26T22:20:42.000Z,122
2020-12-26T22:20:48.000Z,116
2020-12-26T22:20:51.000Z,119
2020-12-26T22:20:53.000Z,122
2020-12-26T22:20:58.000Z,125
2020-12-26T22:21:05.000Z,123
2020-12-26T22:21:08.000Z,129
2020-12-26T22:21:09.000Z,133
2020-12-26T22:21:10.000Z,132
2020-12-26T22:21:13.000Z,128
2020-12-26T22:21:14.000Z,125
2020-12-26T22:21:15.000Z,125
2020-12-26T22:21:22.000Z,127
2020-12-26T22:21:29.000Z,127
2020-12-26T22:21:33.000Z,132
2020-12-26T22:21:36.000Z,135
2020-12-26T22:21:39.000Z,131
2020-12-26T22:21:41.000Z,134
2020-12-26T22:21:45.000Z,131
2020-12-26T22:21:52.000Z,132
2020-12-26T22:21:56.000Z,135
2020-12-26T22:22:02.000Z,132
2020-12-26T22:22:09.000Z,132
2020-12-26T22:22:16.000Z,130
2020-12-26T22:22:19.000Z,133
2020-12-26T22:22:26.000Z,132
2020-12-26T22:22:29.000Z,135
2020-12-26T22:22:36.000Z,133
2020-12-26T22:22:43.000Z,133
2020-12-26T22:22:48.000Z,136
2020-12-26T22:22:55.000Z,134
2020-12-26T22:23:02.000Z,136
2020-12-26T22:23:09.000Z,136
2020-12-26T22:23:16.000Z,135
2020-12-26T22:23:23.000Z,134
2020-12-26T22:23:30.000Z,135
2020-12-26T22:23:34.000Z,139
2020-12-26T22:23:38.000Z,136
2020-12-26T22:23:45.000Z,134
2020-12-26T22:23:47.000Z,131
2020-12-26T22:23:54.000Z,133
2020-12-26T22:24:01.000Z,135
2020-12-26T22:24:08.000Z,137
2020-12-26T22:24:15.000Z,138
2020-12-26T22:24:18.000Z,135
2020-12-26T22:24:25.000Z,135
2020-12-26T22:24:32.000Z,136
2020-12-26T22:24:39.000Z,135
2020-12-26T22:24:43.000Z,138
2020-12-26T22:24:50.000Z,140
2020-12-26T22:24:58.000Z,135
2020-12-26T22:24:59.000Z,131
2020-12-26T22:25:00.000Z,128
2020-12-26T22:25:15.000Z,126
2020-12-26T22:25:18.000Z,122
2020-12-26T22:25:19.000Z,119
2020-12-26T22:25:20.000Z,119
2020-12-26T22:25:26.000Z,116
2020-12-26T22:25:31.000Z,108
2020-12-26T22:25:32.000Z,103
2020-12-26T22:25:34.000Z,100
2020-12-26T22:25:38.000Z,97
2020-12-26T22:25:53.000Z,94
2020-12-26T22:26:03.000Z,91
2020-12-26T22:26:15.000Z,88
2020-12-26T22:26:23.000Z,96
2020-12-26T22:26:24.000Z,102
2020-12-26T22:26:25.000Z,106
2020-12-26T22:26:27.000Z,109
2020-12-26T22:26:28.000Z,114
2020-12-26T22:26:29.000Z,114
2020-12-26T22:26:36.000Z,115
2020-12-26T22:26:38.000Z,118
2020-12-26T22:26:45.000Z,117
2020-12-26T22:26:48.000Z,114
2020-12-26T22:26:50.000Z,119
2020-12-26T22:26:54.000Z,122
2020-12-26T22:26:56.000Z,119
2020-12-26T22:26:58.000Z,124
2020-12-26T22:26:59.000Z,127
2020-12-26T22:27:01.000Z,130
2020-12-26T22:27:03.000Z,133
2020-12-26T22:27:08.000Z,136
2020-12-26T22:27:09.000Z,133
2020-12-26T22:27:16.000Z,136
2020-12-26T22:27:17.000Z,139
2020-12-26T22:27:20.000Z,142
2020-12-26T22:27:27.000Z,141
2020-12-26T22:27:34.000Z,141
2020-12-26T22:27:41.000Z,141
2020-12-26T22:27:48.000Z,140
2020-12-26T22:27:55.000Z,141
2020-12-26T22:28:02.000Z,141
2020-12-26T22:28:07.000Z,145
2020-12-26T22:28:14.000Z,145
2020-12-26T22:28:21.000Z,144
2020-12-26T22:28:28.000Z,145
2020-12-26T22:28:35.000Z,145
2020-12-26T22:28:38.000Z,142
2020-12-26T22:28:41.000Z,141
2020-12-26T22:28:46.000Z,144
2020-12-26T22:28:53.000Z,146
2020-12-26T22:28:59.000Z,146
2020-12-26T22:29:06.000Z,147
2020-12-26T22:29:13.000Z,148
2020-12-26T22:29:20.000Z,148
2020-12-26T22:29:27.000Z,149
2020-12-26T22:29:29.000Z,152
2020-12-26T22:29:32.000Z,149
2020-12-26T22:29:38.000Z,148
2020-12-26T22:29:44.000Z,148
2020-12-26T22:29:50.000Z,147
2020-12-26T22:29:56.000Z,147
2020-12-26T22:30:03.000Z,147
2020-12-26T22:30:07.000Z,150
2020-12-26T22:30:13.000Z,148
2020-12-26T22:30:15.000Z,151
2020-12-26T22:30:16.000Z,147
2020-12-26T22:30:22.000Z,147
2020-12-26T22:30:29.000Z,149
2020-12-26T22:30:35.000Z,146
2020-12-26T22:30:36.000Z,149
2020-12-26T22:30:42.000Z,150
2020-12-26T22:30:49.000Z,150
2020-12-26T22:30:52.000Z,147
2020-12-26T22:30:59.000Z,149
2020-12-26T22:31:06.000Z,149
2020-12-26T22:31:14.000Z,148
2020-12-26T22:31:21.000Z,145
2020-12-26T22:31:25.000Z,139
2020-12-26T22:31:32.000Z,136
2020-12-26T22:31:34.000Z,133
2020-12-26T22:31:42.000Z,132
2020-12-26T22:31:50.000Z,130
2020-12-26T22:31:55.000Z,127
2020-12-26T22:32:03.000Z,125
2020-12-26T22:32:11.000Z,123
2020-12-26T22:32:18.000Z,123
2020-12-26T22:32:24.000Z,126
2020-12-26T22:32:30.000Z,128
2020-12-26T22:32:36.000Z,129
2020-12-26T22:32:40.000Z,133
2020-12-26T22:32:41.000Z,137
2020-12-26T22:32:42.000Z,141
2020-12-26T22:32:48.000Z,144
2020-12-26T22:32:52.000Z,147
2020-12-26T22:32:58.000Z,150
2020-12-26T22:33:02.000Z,147
2020-12-26T22:33:05.000Z,151
2020-12-26T22:33:11.000Z,150
2020-12-26T22:33:13.000Z,153
2020-12-26T22:33:15.000Z,148
2020-12-26T22:33:17.000Z,151
2020-12-26T22:33:22.000Z,154
2020-12-26T22:33:28.000Z,155
2020-12-26T22:33:34.000Z,158
2020-12-26T22:33:40.000Z,157
2020-12-26T22:33:46.000Z,157
2020-12-26T22:33:52.000Z,157
2020-12-26T22:33:56.000Z,160
2020-12-26T22:34:03.000Z,160
2020-12-26T22:34:09.000Z,161
2020-12-26T22:34:15.000Z,160
2020-12-26T22:34:21.000Z,161
2020-12-26T22:34:27.000Z,163
2020-12-26T22:34:32.000Z,158
2020-12-26T22:34:33.000Z,154
2020-12-26T22:34:34.000Z,151
2020-12-26T22:34:35.000Z,147
2020-12-26T22:34:38.000Z,143
2020-12-26T22:34:39.000Z,139
2020-12-26T22:34:40.000Z,140
2020-12-26T22:34:42.000Z,143
2020-12-26T22:34:44.000Z,146
2020-12-26T22:34:47.000Z,149
2020-12-26T22:34:51.000Z,152
2020-12-26T22:34:52.000Z,156
2020-12-26T22:34:53.000Z,160
2020-12-26T22:34:54.000Z,160
2020-12-26T22:35:01.000Z,161
2020-12-26T22:35:06.000Z,165
2020-12-26T22:35:09.000Z,161
2020-12-26T22:35:15.000Z,163
2020-12-26T22:35:21.000Z,161
2020-12-26T22:35:27.000Z,160
2020-12-26T22:35:33.000Z,158
2020-12-26T22:35:39.000Z,159
2020-12-26T22:35:45.000Z,161
2020-12-26T22:35:51.000Z,162
2020-12-26T22:35:57.000Z,162
2020-12-26T22:36:03.000Z,163
2020-12-26T22:36:09.000Z,161
2020-12-26T22:36:15.000Z,162
2020-12-26T22:36:22.000Z,163
2020-12-26T22:36:28.000Z,166
2020-12-26T22:36:33.000Z,169
2020-12-26T22:36:39.000Z,167
2020-12-26T22:36:40.000Z,167
2020-12-26T22:36:46.000Z,166
2020-12-26T22:36:52.000Z,168
2020-12-26T22:36:54.000Z,165
2020-12-26T22:36:59.000Z,168
2020-12-26T22:37:03.000Z,165
2020-12-26T22:37:10.000Z,166
2020-12-26T22:37:17.000Z,165
2020-12-26T22:37:19.000Z,162
2020-12-26T22:37:22.000Z,165
2020-12-26T22:37:29.000Z,165
2020-12-26T22:37:36.000Z,162
2020-12-26T22:37:40.000Z,157
2020-12-26T22:37:42.000Z,160
2020-12-26T22:37:45.000Z,163
2020-12-26T22:37:46.000Z,167
2020-12-26T22:37:53.000Z,165
2020-12-26T22:38:00.000Z,165
2020-12-26T22:38:07.000Z,165
2020-12-26T22:38:14.000Z,165
2020-12-26T22:38:21.000Z,164
2020-12-26T22:38:28.000Z,165
2020-12-26T22:38:35.000Z,164
2020-12-26T22:38:42.000Z,164
2020-12-26T22:38:47.000Z,167
2020-12-26T22:38:54.000Z,166
2020-12-26T22:39:01.000Z,164
2020-12-26T22:39:08.000Z,164
2020-12-26T22:39:16.000Z,164
2020-12-26T22:39:28.000Z,161
2020-12-26T22:39:30.000Z,157
2020-12-26T22:39:32.000Z,154
2020-12-26T22:39:34.000Z,151
2020-12-26T22:39:37.000Z,148
2020-12-26T22:39:45.000Z,145
2020-12-26T22:39:57.000Z,142
2020-12-26T22:40:01.000Z,139
2020-12-26T22:40:08.000Z,135
2020-12-26T22:40:09.000Z,129
2020-12-26T22:40:10.000Z,126
2020-12-26T22:40:11.000Z,120
2020-12-26T22:40:12.000Z,116
2020-12-26T22:40:14.000Z,108
2020-12-26T22:40:15.000Z,104
2020-12-26T22:40:30.000Z,105
2020-12-26T22:40:45.000Z,107
2020-12-26T22:41:00.000Z,105
2020-12-26T22:41:15.000Z,104
2020-12-26T22:41:28.000Z,106
2020-12-26T22:41:30.000Z,109
2020-12-26T22:41:35.000Z,112
2020-12-26T22:41:37.000Z,116
2020-12-26T22:41:38.000Z,120
2020-12-26T22:41:43.000Z,123
2020-12-26T22:41:46.000Z,126
2020-12-26T22:41:49.000Z,130
2020-12-26T22:41:52.000Z,133
2020-12-26T22:41:58.000Z,132
2020-12-26T22:41:59.000Z,137
2020-12-26T22:42:01.000Z,141
2020-12-26T22:42:04.000Z,135
2020-12-26T22:42:05.000Z,136
2020-12-26T22:42:08.000Z,143
2020-12-26T22:42:10.000Z,148
2020-12-26T22:42:12.000Z,142
2020-12-26T22:42:18.000Z,144
2020-12-26T22:42:21.000Z,147
2020-12-26T22:42:23.000Z,151
2020-12-26T22:42:24.000Z,154
2020-12-26T22:42:27.000Z,157
2020-12-26T22:42:30.000Z,160
2020-12-26T22:42:36.000Z,160
2020-12-26T22:42:42.000Z,158
2020-12-26T22:42:47.000Z,158
2020-12-26T22:42:52.000Z,159
2020-12-26T22:42:58.000Z,156
2020-12-26T22:42:59.000Z,152
2020-12-26T22:43:01.000Z,158
2020-12-26T22:43:02.000Z,164
2020-12-26T22:43:03.000Z,169
2020-12-26T22:43:04.000Z,169
2020-12-26T22:43:09.000Z,170
2020-12-26T22:43:14.000Z,168
2020-12-26T22:43:19.000Z,169
2020-12-26T22:43:22.000Z,166
2020-12-26T22:43:24.000Z,163
2020-12-26T22:43:25.000Z,160
2020-12-26T22:43:31.000Z,161
2020-12-26T22:43:33.000Z,164
2020-12-26T22:43:37.000Z,167
2020-12-26T22:43:39.000Z,173
2020-12-26T22:43:41.000Z,179
2020-12-26T22:43:43.000Z,182
2020-12-26T22:43:46.000Z,178
2020-12-26T22:43:47.000Z,175
2020-12-26T22:43:53.000Z,173
2020-12-26T22:43:59.000Z,174
2020-12-26T22:44:06.000Z,172
2020-12-26T22:44:10.000Z,168
2020-12-26T22:44:14.000Z,164
2020-12-26T22:44:15.000Z,160
2020-12-26T22:44:22.000Z,161
2020-12-26T22:44:29.000Z,161
2020-12-26T22:44:34.000Z,158
2020-12-26T22:44:41.000Z,156
2020-12-26T22:44:48.000Z,155
2020-12-26T22:44:55.000Z,156
2020-12-26T22:45:02.000Z,156
2020-12-26T22:45:09.000Z,156
2020-12-26T22:45:16.000Z,156
2020-12-26T22:45:23.000Z,155
2020-12-26T22:45:30.000Z,153
2020-12-26T22:45:37.000Z,154
2020-12-26T22:45:44.000Z,154
2020-12-26T22:45:51.000Z,154
2020-12-26T22:45:58.000Z,154
2020-12-26T22:46:05.000Z,155
2020-12-26T22:46:08.000Z,155
2020-12-26T22:46:15.000Z,153
2020-12-26T22:46:18.000Z,156
2020-12-26T22:46:25.000Z,155
2020-12-26T22:46:32.000Z,155
2020-12-26T22:46:39.000Z,153
2020-12-26T22:46:46.000Z,155
2020-12-26T22:46:49.000Z,152
2020-12-26T22:46:53.000Z,156
2020-12-26T22:46:59.000Z,153
2020-12-26T22:47:01.000Z,156
2020-12-26T22:47:08.000Z,154
2020-12-26T22:47:15.000Z,156
2020-12-26T22:47:22.000Z,157
2020-12-26T22:47:29.000Z,154
2020-12-26T22:47:36.000Z,155
2020-12-26T22:47:43.000Z,155
2020-12-26T22:47:50.000Z,158
2020-12-26T22:47:57.000Z,155
2020-12-26T22:48:04.000Z,154
2020-12-26T22:48:08.000Z,157
2020-12-26T22:48:10.000Z,154
2020-12-26T22:48:16.000Z,157
2020-12-26T22:48:20.000Z,154
2020-12-26T22:48:26.000Z,157
2020-12-26T22:48:32.000Z,154
2020-12-26T22:48:38.000Z,157
2020-12-26T22:48:45.000Z,154
2020-12-26T22:48:52.000Z,154
2020-12-26T22:48:59.000Z,155
2020-12-26T22:49:06.000Z,154
2020-12-26T22:49:13.000Z,156
2020-12-26T22:49:20.000Z,156
2020-12-26T22:49:27.000Z,157
2020-12-26T22:49:34.000Z,155
2020-12-26T22:49:40.000Z,158
2020-12-26T22:49:47.000Z,159
2020-12-26T22:49:54.000Z,158
2020-12-26T22:50:01.000Z,157
2020-12-26T22:50:08.000Z,158
2020-12-26T22:50:15.000Z,158
2020-12-26T22:50:22.000Z,159
2020-12-26T22:50:29.000Z,160
2020-12-26T22:50:36.000Z,158
2020-12-26T22:50:43.000Z,159
2020-12-26T22:50:50.000Z,158
2020-12-26T22:50:57.000Z,156
2020-12-26T22:51:04.000Z,158
2020-12-26T22:51:11.000Z,158
2020-12-26T22:51:18.000Z,159
2020-12-26T22:51:23.000Z,162
2020-12-26T22:51:30.000Z,159
2020-12-26T22:51:37.000Z,160
2020-12-26T22:51:44.000Z,159
2020-12-26T22:51:51.000Z,157
2020-12-26T22:51:58.000Z,157
2020-12-26T22:52:05.000Z,158
2020-12-26T22:52:12.000Z,159
2020-12-26T22:52:19.000Z,159
2020-12-26T22:52:26.000Z,159
2020-12-26T22:52:33.000Z,158
2020-12-26T22:52:40.000Z,159
2020-12-26T22:52:47.000Z,158
2020-12-26T22:52:54.000Z,159
2020-12-26T22:53:01.000Z,159
2020-12-26T22:53:08.000Z,158
2020-12-26T22:53:15.000Z,157
2020-12-26T22:53:20.000Z,160
2020-12-26T22:53:28.000Z,157
2020-12-26T22:53:35.000Z,153
2020-12-26T22:53:38.000Z,150
2020-12-26T22:53:49.000Z,147
2020-12-26T22:53:53.000Z,143
2020-12-26T22:53:56.000Z,140
2020-12-26T22:54:01.000Z,137
2020-12-26T22:54:05.000Z,134
2020-12-26T22:54:07.000Z,131
2020-12-26T22:54:11.000Z,128
2020-12-26T22:54:18.000Z,125
2020-12-26T22:54:33.000Z,124
2020-12-26T22:54:47.000Z,121
2020-12-26T22:55:03.000Z,119
2020-12-26T22:55:19.000Z,119
2020-12-26T22:55:27.000Z,118
2020-12-26T22:55:35.000Z,122
2020-12-26T22:55:38.000Z,122
2020-12-26T22:55:41.000Z,119
2020-12-26T22:55:46.000Z,122
2020-12-26T22:55:49.000Z,125
2020-12-26T22:55:54.000Z,128
2020-12-26T22:56:04.000Z,127
2020-12-26T22:56:12.000Z,130
2020-12-26T22:56:38.000Z,127
2020-12-26T22:56:43.000Z,123
2020-12-26T22:56:47.000Z,119
2020-12-26T22:56:54.000Z,121
2020-12-26T22:56:58.000Z,124
2020-12-26T22:57:06.000Z,126
2020-12-26T22:57:07.000Z,130
2020-12-26T22:57:09.000Z,134
2020-12-26T22:57:16.000Z,133
2020-12-26T22:57:20.000Z,136
2020-12-26T22:57:26.000Z,139
2020-12-26T22:57:33.000Z,139
2020-12-26T22:57:40.000Z,141
2020-12-26T22:57:47.000Z,142
2020-12-26T22:57:54.000Z,142
2020-12-26T22:58:01.000Z,143
2020-12-26T22:58:08.000Z,143
2020-12-26T22:58:15.000Z,146
2020-12-26T22:58:22.000Z,146
2020-12-26T22:58:29.000Z,148
2020-12-26T22:58:33.000Z,151
2020-12-26T22:58:40.000Z,152
2020-12-26T22:58:47.000Z,150
2020-12-26T22:58:54.000Z,151
2020-12-26T22:59:01.000Z,149
2020-12-26T22:59:08.000Z,150
2020-12-26T22:59:15.000Z,150
2020-12-26T22:59:22.000Z,152
2020-12-26T22:59:29.000Z,151
2020-12-26T22:59:36.000Z,152
2020-12-26T22:59:43.000Z,152
2020-12-26T22:59:50.000Z,150
2020-12-26T22:59:57.000Z,151
2020-12-26T23:00:04.000Z,150
2020-12-26T23:00:09.000Z,153
2020-12-26T23:00:16.000Z,152
2020-12-26T23:00:23.000Z,153
2020-12-26T23:00:30.000Z,155
2020-12-26T23:00:37.000Z,154
2020-12-26T23:00:44.000Z,154
2020-12-26T23:00:51.000Z,153
2020-12-26T23:00:57.000Z,155
2020-12-26T23:01:03.000Z,157
2020-12-26T23:01:10.000Z,157
2020-12-26T23:01:17.000Z,157
2020-12-26T23:01:24.000Z,155
2020-12-26T23:01:31.000Z,157
2020-12-26T23:01:38.000Z,156
2020-12-26T23:01:45.000Z,157
2020-12-26T23:01:51.000Z,160
2020-12-26T23:01:58.000Z,159
2020-12-26T23:02:05.000Z,159
2020-12-26T23:02:12.000Z,157
2020-12-26T23:02:13.000Z,160
2020-12-26T23:02:20.000Z,158
2020-12-26T23:02:27.000Z,157
2020-12-26T23:02:34.000Z,159
2020-12-26T23:02:40.000Z,159
2020-12-26T23:02:46.000Z,160
2020-12-26T23:02:52.000Z,161
2020-12-26T23:02:58.000Z,160
2020-12-26T23:03:04.000Z,160
2020-12-26T23:03:10.000Z,160
2020-12-26T23:03:17.000Z,162
2020-12-26T23:03:23.000Z,161
2020-12-26T23:03:29.000Z,160
2020-12-26T23:03:35.000Z,163
2020-12-26T23:03:41.000Z,163
2020-12-26T23:03:47.000Z,164
2020-12-26T23:03:53.000Z,163
2020-12-26T23:03:59.000Z,163
2020-12-26T23:04:06.000Z,163
2020-12-26T23:04:13.000Z,167
2020-12-26T23:04:19.000Z,167
2020-12-26T23:04:26.000Z,166
2020-12-26T23:04:33.000Z,161
2020-12-26T23:04:36.000Z,158
2020-12-26T23:04:41.000Z,155
2020-12-26T23:04:43.000Z,155
2020-12-26T23:04:50.000Z,152
2020-12-26T23:04:54.000Z,149
2020-12-26T23:04:58.000Z,146
2020-12-26T23:05:02.000Z,143
2020-12-26T23:05:07.000Z,139
2020-12-26T23:05:12.000Z,136
2020-12-26T23:05:25.000Z,132
2020-12-26T23:05:33.000Z,127
2020-12-26T23:05:35.000Z,124
2020-12-26T23:05:49.000Z,121
2020-12-26T23:05:54.000Z,118
2020-12-26T23:05:56.000Z,114
2020-12-26T23:06:02.000Z,119
2020-12-26T23:06:03.000Z,119
2020-12-26T23:06:18.000Z,118
2020-12-26T23:06:33.000Z,117
2020-12-26T23:06:49.000Z,115
2020-12-26T23:06:51.000Z,112
2020-12-26T23:06:53.000Z,109
2020-12-26T23:07:09.000Z,109
2020-12-26T23:07:25.000Z,113
2020-12-26T23:07:41.000Z,111
2020-12-26T23:07:43.000Z,110
